Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_Precision,Overall_Recall,Overall_F1
SCDA,HLA,-1,0,0.25,0.5%~1%,680,0.936363667,0.061668667,0.368172,0.457231333,0.384808667,0.920053333,0.825996333,0.882805333,0.883192667,0.882992667
SCDA,HLA,-1,0,0.25,1%~10%,16799,0.928403,0.658045,0.749382,0.791383333,0.769373333,0.920053333,0.825996333,0.882805333,0.883192667,0.882992667
SCDA,HLA,-1,0,0.25,10%~20%,9609,0.908327667,0.812376,0.861781667,0.860003667,0.860853333,0.920053333,0.825996333,0.882805333,0.883192667,0.882992667
SCDA,HLA,-1,0,0.25,20%~30%,7631,0.912171333,0.836962,0.897387667,0.892785667,0.895045667,0.920053333,0.825996333,0.882805333,0.883192667,0.882992667
SCDA,HLA,-1,0,0.25,30%~40%,6170,0.920041,0.843347333,0.915855,0.911063333,0.913369333,0.920053333,0.825996333,0.882805333,0.883192667,0.882992667
SCDA,HLA,-1,0,0.25,40%~50%,6424,0.921969,0.842823333,0.920866,0.918468667,0.919467667,0.920053333,0.825996333,0.882805333,0.883192667,0.882992667
BiUNet,HLA,128,64,0.05,0.1%~0.5%,427,0.999237333,0.978975333,0.999802667,0.983446667,0.991527,0.998858667,0.997927333,0.998010667,0.998259333,0.998134667
BiUNet,HLA,128,64,0.05,0.5%~1%,680,0.999755,0.988819333,0.999458,0.985713667,0.992419667,0.998858667,0.997927333,0.998010667,0.998259333,0.998134667
BiUNet,HLA,128,64,0.05,1%~10%,16799,0.999542667,0.997497667,0.997754,0.999209333,0.998480667,0.998858667,0.997927333,0.998010667,0.998259333,0.998134667
BiUNet,HLA,128,64,0.05,10%~20%,9609,0.998286667,0.997008667,0.997051,0.997303333,0.997177,0.998858667,0.997927333,0.998010667,0.998259333,0.998134667
