method,missing,chr,MAF_bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Bin_Acc_sd,Bin_R2_sd,Bin_Precision_sd,Bin_Recall_sd,Bin_F1_sd,Overall Acc,Overall R2,Overall Precision,Overall Recall,Overall F1
biunet,5%,1, 0.1%~0.5%,25755.0,0.9947883023596478,0.899873131972341,0.9155761680089339,0.9978276451716516,0.9540902143874715,7.077706430707742e-05,0.0012309969862805282,0.0010597661967070243,1.2296428370169617e-06,0.0005944322641313534,0.9925801613452077,0.9754049630398044,0.9895515826751061,0.9896277068217643,0.9895893318859929
biunet,5%,1, 0.5%~1%,27612.0,0.9957248495384089,0.938916041214611,0.9390048612597317,0.997225711483202,0.9666608790444426,1.4351135025464709e-05,0.00030338394058230346,0.0001625487562174872,0.0001098965250638224,0.00013730063134707418,0.9925801613452077,0.9754049630398044,0.9895515826751061,0.9896277068217643,0.9895893318859929
biunet,5%,1, 1%~10%,239605.0,0.9955635000281399,0.9735524614952097,0.9765099291838797,0.9962819613016136,0.9862097386571694,3.251957835766719e-05,0.00019193455189896142,0.00017743321343994945,3.6310030224333185e-05,0.00010979056273406875,0.9925801613452077,0.9754049630398044,0.9895515826751061,0.9896277068217643,0.9895893318859929
biunet,5%,1, 10%~20%,128458.0,0.9914443796510309,0.974308502321601,0.9896154687493093,0.9872725456714945,0.9884406383538519,2.1174997941270477e-05,8.808098977044487e-05,5.620074189304295e-05,2.8744391140283497e-05,4.162799292052871e-05,0.9925801613452077,0.9754049630398044,0.9895515826751061,0.9896277068217643,0.9895893318859929
biunet,5%,1, 20%~30%,88879.0,0.9889663577345708,0.9684855616449352,0.9903589761585044,0.986288176800136,0.988303237276444,4.738098016356906e-05,0.00016436489331212223,4.725041804190102e-05,6.105621886289277e-05,5.185100227640577e-05,0.9925801613452077,0.9754049630398044,0.9895515826751061,0.9896277068217643,0.9895893318859929
biunet,5%,1, 30%~40%,77448.0,0.989946626945,0.9693830984890219,0.9909338772202515,0.9893695297344068,0.990139371957067,2.526245326176486e-05,7.256909962440759e-05,3.6858995465253345e-05,2.9839094237116852e-05,3.2276273104259965e-05,0.9925801613452077,0.9754049630398044,0.9895515826751061,0.9896277068217643,0.9895893318859929
biunet,5%,1, 40%~50%,71045.0,0.9899413943787229,0.9674200465709104,0.9905666406597483,0.9897841924151239,0.9901606647091663,3.403137235360615e-05,0.0001198786336228293,3.702303657011911e-05,3.4754081538404344e-05,3.497142656791083e-05,0.9925801613452077,0.9754049630398044,0.9895515826751061,0.9896277068217643,0.9895893318859929
biunet,5%,1, Overall,658802.0,0.9925801613452077,0.9754049630398044,0.9895515826751061,0.9896277068217643,0.9895893318859929,1.2351927484350329e-05,2.401518705138155e-05,2.1663080777654503e-05,1.9618474965349034e-05,1.9570035373726352e-05,0.9925801613452077,0.9754049630398044,0.9895515826751061,0.9896277068217643,0.9895893318859929
biunet,15%,1, 0.1%~0.5%,25755.0,0.9817631763176317,0.7169349863598699,0.7712149344535987,0.9909341080152423,0.86023031515471,0.0001210660852458014,0.001754134721875263,0.001138165041634232,6.559918018953005e-05,0.0007850306440214764,0.9718968880427861,0.9102068491734171,0.962489621792339,0.9584350261624587,0.9604527195532944
biunet,15%,1, 0.5%~1%,27612.0,0.9848605568944553,0.8089096902754936,0.8253161701292951,0.9863136535570298,0.8937618620384575,4.110803371544921e-05,0.0012456247924052268,0.00031519704242272356,0.0001380099463202028,0.00022923346987501131,0.9718968880427861,0.9102068491734171,0.962489621792339,0.9584350261624587,0.9604527195532944
biunet,15%,1, 1%~10%,239605.0,0.9795157813396166,0.8898990298845102,0.9203310665958376,0.9507545595421992,0.9350941170923694,1.1555867070398254e-05,0.00014325378060655146,6.263279599668601e-05,7.158655839911951e-05,5.595429476376582e-05,0.9718968880427861,0.9102068491734171,0.962489621792339,0.9584350261624587,0.9604527195532944
biunet,15%,1, 10%~20%,128458.0,0.9679138730404513,0.9062506978982273,0.9623784987821048,0.9504516870895386,0.9563204488678537,2.0439353324988765e-05,0.00020820308593602662,6.119971671431776e-05,7.127545180656746e-05,6.092011258850999e-05,0.9718968880427861,0.9102068491734171,0.962489621792339,0.9584350261624587,0.9604527195532944
biunet,15%,1, 20%~30%,88879.0,0.9633995077406906,0.8965518307416129,0.9664324352808142,0.956262657427095,0.9612186442955349,5.704650938962567e-05,0.000289535418426979,7.262618669092926e-05,4.587295083147296e-05,5.8209400640745946e-05,0.9718968880427861,0.9102068491734171,0.962489621792339,0.9584350261624587,0.9604527195532944
biunet,15%,1, 30%~40%,77448.0,0.9643203416251138,0.8942498652883998,0.9680213083032029,0.9622474262086698,0.9649833538140911,2.8959716051805416e-05,0.000376743675549904,2.0763413547139815e-05,1.7672495535986034e-05,1.1645519703685568e-05,0.9718968880427861,0.9102068491734171,0.962489621792339,0.9584350261624587,0.9604527195532944
biunet,15%,1, 40%~50%,71045.0,0.96367805722792,0.8855119357566652,0.9664306785433836,0.9630055365677289,0.9645061339771487,6.169531619240196e-05,0.00032946764078965713,5.7732370008450476e-05,6.098278210902041e-05,5.8576334582509975e-05,0.9718968880427861,0.9102068491734171,0.962489621792339,0.9584350261624587,0.9604527195532944
biunet,15%,1, Overall,658802.0,0.9718968880427861,0.9102068491734171,0.962489621792339,0.9584350261624587,0.9604527195532944,1.6921799449382327e-05,2.7569999631872368e-05,3.623729807161165e-05,1.4167718788546324e-05,2.48679123099386e-05,0.9718968880427861,0.9102068491734171,0.962489621792339,0.9584350261624587,0.9604527195532944
biunet,25%,1, 0.1%~0.5%,25755.0,0.97111858244648,0.6097092026444121,0.6931610394343433,0.979500982677996,0.7983780871355687,3.685182580222586e-05,0.0013644205070604727,0.0003138092901890451,6.743759250324418e-05,0.00019078130039611545,0.9550009415621542,0.858518646193232,0.9400257414774016,0.9331026625828635,0.9365349927567527
biunet,25%,1, 0.5%~1%,27612.0,0.9755705687909076,0.7186467050295514,0.7564886404566361,0.9648722697187586,0.8392484472985245,9.206519361868189e-05,0.0011683168331865538,0.000619966437407507,0.0002545403297468469,0.0004348110142340492,0.9550009415621542,0.858518646193232,0.9400257414774016,0.9331026625828635,0.9365349927567527
biunet,25%,1, 1%~10%,239605.0,0.9664092037842585,0.8252941699812344,0.8760639324191591,0.9134600174828044,0.8940566654927302,3.323920518420523e-05,0.00017390927755401442,0.0001364642522421771,4.536808035849374e-05,9.18538668225146e-05,0.9550009415621542,0.858518646193232,0.9400257414774016,0.9331026625828635,0.9365349927567527
