Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_Precision,Overall_Recall,Overall_F1
SCDA,LOS,-1,0,0.25,0.5%~1%,41655,0.986322667,0.446355,0.716131667,0.79461,0.751513,0.949688,0.671279667,0.927039667,0.800787667,0.856417333
SCDA,LOS,-1,0,0.25,1%~10%,120279,0.967029667,0.637268667,0.895348333,0.795131333,0.840516333,0.949688,0.671279667,0.927039667,0.800787667,0.856417333
SCDA,LOS,-1,0,0.25,10%~20%,30423,0.901588667,0.655145333,0.931473333,0.800010333,0.855051333,0.949688,0.671279667,0.927039667,0.800787667,0.856417333
SCDA,LOS,-1,0,0.25,20%~30%,17490,0.853967,0.601959333,0.914307667,0.800585333,0.843291,0.949688,0.671279667,0.927039667,0.800787667,0.856417333
SCDA,LOS,-1,0,0.25,30%~40%,13326,0.823308667,0.551777667,0.892529,0.803396333,0.829086,0.949688,0.671279667,0.927039667,0.800787667,0.856417333
SCDA,LOS,-1,0,0.25,40%~50%,12129,0.807966333,0.518846333,0.877072333,0.804317667,0.817212,0.949688,0.671279667,0.927039667,0.800787667,0.856417333
BiUNet,LOS,128,16,0.05,0.1%~0.5%,72297,0.999964667,0.997556,0.997483333,0.998924667,0.998201333,0.997180667,0.989599333,0.994537,0.988698,0.991597667
BiUNet,LOS,128,16,0.05,0.5%~1%,41655,0.999857667,0.995627667,0.998215,0.995942333,0.997077,0.997180667,0.989599333,0.994537,0.988698,0.991597667
BiUNet,LOS,128,16,0.05,1%~10%,120279,0.996991667,0.978843333,0.996261667,0.979156,0.987555333,0.997180667,0.989599333,0.994537,0.988698,0.991597667
BiUNet,LOS,128,16,0.05,10%~20%,30423,0.993856,0.987235667,0.993261333,0.988363667,0.990792667,0.997180667,0.989599333,0.994537,0.988698,0.991597667
BiUNet,LOS,128,16,0.05,20%~30%,17490,0.992811667,0.988152,0.992465,0.990916667,0.991686,0.997180667,0.989599333,0.994537,0.988698,0.991597667
BiUNet,LOS,128,16,0.05,30%~40%,13326,0.992716,0.988174,0.992603,0.992216333,0.992408333,0.997180667,0.989599333,0.994537,0.988698,0.991597667
BiUNet,LOS,128,16,0.05,40%~50%,12129,0.992815,0.988009667,0.992765,0.992698333,0.992731,0.997180667,0.989599333,0.994537,0.988698,0.991597667
BiUNet,LOS,128,16,0.15,0.1%~0.5%,72297,0.999410667,0.958704,0.989714,0.964368667,0.976715,0.990338333,0.963151333,0.982546333,0.961060667,0.971524
BiUNet,LOS,128,16,0.15,0.5%~1%,41655,0.997752333,0.931609333,0.992277,0.926033333,0.956824,0.990338333,0.963151333,0.982546333,0.961060667,0.971524
BiUNet,LOS,128,16,0.15,1%~10%,120279,0.990595333,0.933271667,0.987542667,0.935504,0.960022333,0.990338333,0.963151333,0.982546333,0.961060667,0.971524
BiUNet,LOS,128,16,0.15,10%~20%,30423,0.979160667,0.954858,0.978783667,0.960222333,0.969214667,0.990338333,0.963151333,0.982546333,0.961060667,0.971524
BiUNet,LOS,128,16,0.15,20%~30%,17490,0.975194,0.957149667,0.975433667,0.968297333,0.971768,0.990338333,0.963151333,0.982546333,0.961060667,0.971524
BiUNet,LOS,128,16,0.15,30%~40%,13326,0.974776667,0.957054667,0.975064,0.972868333,0.973921,0.990338333,0.963151333,0.982546333,0.961060667,0.971524
BiUNet,LOS,128,16,0.15,40%~50%,12129,0.975220667,0.956358,0.975221667,0.974799,0.974982,0.990338333,0.963151333,0.982546333,0.961060667,0.971524
BiUNet,LOS,128,16,0.25,0.1%~0.5%,72297,0.998603667,0.900946667,0.970542333,0.919945333,0.943736667,0.981779333,0.927634333,0.967831,0.926643,0.946196667
BiUNet,LOS,128,16,0.25,0.5%~1%,41655,0.996021,0.877564,0.978881333,0.873990333,0.920078,0.981779333,0.927634333,0.967831,0.926643,0.946196667
BiUNet,LOS,128,16,0.25,1%~10%,120279,0.983513,0.881345667,0.975152,0.888488667,0.927426667,0.981779333,0.927634333,0.967831,0.926643,0.946196667
BiUNet,LOS,128,16,0.25,10%~20%,30423,0.960021667,0.910047333,0.961387333,0.923242333,0.941087,0.981779333,0.927634333,0.967831,0.926643,0.946196667
BiUNet,LOS,128,16,0.25,20%~30%,17490,0.950930333,0.910602333,0.954026667,0.936746333,0.944841333,0.981779333,0.927634333,0.967831,0.926643,0.946196667
BiUNet,LOS,128,16,0.25,30%~40%,13326,0.949532,0.908725333,0.951708667,0.945428333,0.948245333,0.981779333,0.927634333,0.967831,0.926643,0.946196667
BiUNet,LOS,128,16,0.25,40%~50%,12129,0.949886333,0.905802333,0.950589667,0.948987,0.949529667,0.981779333,0.927634333,0.967831,0.926643,0.946196667
