dataset,arm,missing,MAF_bin,R2,chromosomes,Num_SNPs
SGDP,GW-M+FT,25%,10%~20%,0.9266434157184494,22,1631602.0
SGDP,GW-M+FT,25%,20%~30%,0.930478172404787,22,1164888.0
SGDP,GW-M+FT,25%,30%~40%,0.9312353803080491,22,1014561.0
SGDP,GW-M+FT,25%,40%~50%,0.9310780941573933,22,934350.0
SGDP,GW-M+FT,25%,Overall,0.937808337428574,22,8502275.0
SGDP,GW-M+FT,5%,0.1%~0.5%,0.9646222501515089,22,314228.0
SGDP,GW-M+FT,5%,0.5%~1%,0.9790086264908175,22,341641.0
SGDP,GW-M+FT,5%,1%~10%,0.9900214201353893,22,3101005.0
SGDP,GW-M+FT,5%,10%~20%,0.9886085949646571,22,1631602.0
SGDP,GW-M+FT,5%,20%~30%,0.9881251614530561,22,1164888.0
SGDP,GW-M+FT,5%,30%~40%,0.9889444665573606,22,1014561.0
SGDP,GW-M+FT,5%,40%~50%,0.9886638755689088,22,934350.0
SGDP,GW-M+FT,5%,Overall,0.9907866527115111,22,8502275.0
