method,missing,chr,MAF_bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Bin_Acc_sd,Bin_R2_sd,Bin_Precision_sd,Bin_Recall_sd,Bin_F1_sd,Overall Acc,Overall R2,Overall Precision,Overall Recall,Overall F1
biunet,5%,1, 0.1%~0.5%,357366.0,0.9994339800117729,0.9593464245732529,0.9667729962553185,0.9979845586012246,0.9820072737666719,1.8825526145045466e-06,0.00012015334100344576,0.00010514828935226973,1.623896505414419e-05,4.9418287100635997e-05,0.9961863784117991,0.9778313965847598,0.9935921425006814,0.9836780695016866,0.9885876901812009
biunet,5%,1, 0.5%~1%,238160.0,0.9993951675562497,0.978506339141273,0.9825301325179238,0.9975909323327,0.989965147807664,1.83769080825388e-06,3.8057689391985384e-05,6.040485101989019e-05,6.804296187843634e-06,2.945069492732092e-05,0.9961863784117991,0.9778313965847598,0.9935921425006814,0.9836780695016866,0.9885876901812009
biunet,5%,1, 1%~10%,485357.0,0.9968243359043362,0.9764294851746377,0.994120841947456,0.977365461213804,0.9856074154622826,2.642726239543412e-06,4.8924948319994154e-05,1.1513103387398165e-05,1.0121427271863537e-05,1.0734170094345438e-05,0.9961863784117991,0.9778313965847598,0.9935921425006814,0.9836780695016866,0.9885876901812009
biunet,5%,1, 10%~20%,104787.0,0.9887698557020911,0.9680838163751425,0.9930654829364008,0.977725637872008,0.985236527617548,4.268842380615641e-06,2.5937356952994102e-05,3.284819460777827e-06,7.636031813789697e-06,3.787006311749532e-06,0.9961863784117991,0.9778313965847598,0.9935921425006814,0.9836780695016866,0.9885876901812009
biunet,5%,1, 20%~30%,66311.0,0.9863627777386273,0.9634241943005161,0.9899576966474083,0.9822778679892378,0.9860369656440784,8.641127804759123e-06,2.758357952001778e-05,9.673012413360257e-06,1.2221945853890147e-05,9.193364190883519e-06,0.9961863784117991,0.9778313965847598,0.9935921425006814,0.9836780695016866,0.9885876901812009
biunet,5%,1, 30%~40%,52037.0,0.9874721342981241,0.9639828934750115,0.9890698170432394,0.9866146266034477,0.9878078886170488,1.6505303221360406e-05,4.274110894512126e-05,1.854554897913758e-05,1.6050833317040813e-05,1.705024002068342e-05,0.9961863784117991,0.9778313965847598,0.9935921425006814,0.9836780695016866,0.9885876901812009
biunet,5%,1, 40%~50%,46984.0,0.9886860872411977,0.9652922971964513,0.989208993804508,0.9885306348344082,0.9888477472747912,2.3565555340255212e-05,3.821255308992766e-05,2.44071872078206e-05,2.260400557125611e-05,2.3444756267901657e-05,0.9961863784117991,0.9778313965847598,0.9935921425006814,0.9836780695016866,0.9885876901812009
biunet,5%,1, Overall,1351002.0,0.9961863784117991,0.9778313965847598,0.9935921425006814,0.9836780695016866,0.9885876901812009,1.294684290298315e-06,1.4987891260225457e-05,1.561777487618044e-06,3.86776210376733e-06,2.7512123865231918e-06,0.9961863784117991,0.9778313965847598,0.9935921425006814,0.9836780695016866,0.9885876901812009
biunet,15%,1, 0.1%~0.5%,357366.0,0.9978839401116834,0.8666815288986482,0.9062685202144024,0.9646807427789046,0.9341850195190066,3.7825785025785986e-06,0.00016910988800352732,0.0002056231079157773,3.550385688997844e-05,0.00012608876919103333,0.9876746853706887,0.9297546832176818,0.9798794961937646,0.9462258341229196,0.9624792667266376
biunet,15%,1, 0.5%~1%,238160.0,0.9963732457927336,0.8980736599778293,0.9453095915190587,0.928451053848596,0.9366182821059206,3.0986276861632844e-06,8.637963149490622e-05,6.525393729662932e-05,4.29144410121685e-05,4.423822883505993e-05,0.9876746853706887,0.9297546832176818,0.9798794961937646,0.9462258341229196,0.9624792667266376
biunet,15%,1, 1%~10%,485357.0,0.9897057416137938,0.9248730894255076,0.9812987084795756,0.9252155220996788,0.9516340369211308,1.4984095303696106e-06,2.3699686033923542e-05,1.1845845440651536e-05,1.3933502864894156e-06,5.316535523952828e-06,0.9876746853706887,0.9297546832176818,0.9798794961937646,0.9462258341229196,0.9624792667266376
biunet,15%,1, 10%~20%,104787.0,0.9660166317470157,0.9051761454526837,0.9788520684448413,0.9325731503841626,0.9542244194543666,1.3353326672909258e-05,7.724714060638091e-05,1.9731267345458774e-05,2.0211436077361565e-05,2.0772134857004755e-05,0.9876746853706887,0.9297546832176818,0.9798794961937646,0.9462258341229196,0.9624792667266376
biunet,15%,1, 20%~30%,66311.0,0.9580378620319633,0.8906364318397607,0.9693780218507119,0.9453522593208681,0.9565947397947466,1.8646654141931195e-05,3.666108138959764e-05,1.6738537468998708e-05,1.4918595838297103e-05,1.542863134862466e-05,0.9876746853706887,0.9297546832176818,0.9798794961937646,0.9462258341229196,0.9624792667266376
biunet,15%,1, 30%~40%,52037.0,0.9609987463098122,0.8905999089892553,0.9664073675459504,0.9582820369826232,0.9620124254075336,5.1247249229024706e-05,4.143035933891413e-05,3.497358087751294e-05,6.571768052594569e-05,5.2737493300620946e-05,0.9876746853706887,0.9297546832176818,0.9798794961937646,0.9462258341229196,0.9624792667266376
biunet,15%,1, 40%~50%,46984.0,0.9646240437377814,0.8938174637027186,0.9666823554600054,0.9641335028280104,0.9651927035039011,2.5037288312633385e-05,2.6559531931622635e-05,2.0128729892389338e-05,2.8705629918019815e-05,2.509741158761843e-05,0.9876746853706887,0.9297546832176818,0.9798794961937646,0.9462258341229196,0.9624792667266376
biunet,15%,1, Overall,1351002.0,0.9876746853706887,0.9297546832176818,0.9798794961937646,0.9462258341229196,0.9624792667266376,3.6376811371634384e-06,1.8005309991991455e-05,8.509508780952425e-06,1.3495904712153543e-05,1.0127283118324017e-05,0.9876746853706887,0.9297546832176818,0.9798794961937646,0.9462258341229196,0.9624792667266376
biunet,25%,1, 0.1%~0.5%,357366.0,0.9950812729671648,0.7266557077349036,0.8326402640002267,0.8468166037495024,0.8390327638560953,3.685289189029637e-06,0.00011460077643199992,0.00017573613792111576,2.7385404645273983e-05,9.232932749112289e-05,0.9780967434002686,0.8766763376250996,0.9642701997084019,0.9032569396824291,0.9317807258309339
biunet,25%,1, 0.5%~1%,238160.0,0.9930928521282515,0.8133977225269948,0.9023357836148307,0.8494475674631868,0.8735965775792169,9.57930760829304e-06,0.00021765274963960246,0.00026548393852745454,8.22527780252655e-05,0.00015066806849797486,0.9780967434002686,0.8766763376250996,0.9642701997084019,0.9032569396824291,0.9317807258309339
biunet,25%,1, 1%~10%,485357.0,0.9820940682255254,0.8701599389864744,0.9664304046953877,0.8687608777667272,0.9123321893626514,1.5942568485740837e-06,4.2886172394287765e-05,1.1465666858921757e-05,6.676898330441226e-06,7.053722500626361e-06,0.9780967434002686,0.8766763376250996,0.9642701997084019,0.9032569396824291,0.9317807258309339
biunet,25%,1, 10%~20%,104787.0,0.9415842818474794,0.8403848272985144,0.9632942332043832,0.8839200738475906,0.9190831278986323,1.8907182967465967e-05,4.032796532025904e-05,3.012502125979344e-05,2.386454598067052e-05,2.7136164585029523e-05,0.9780967434002686,0.8766763376250996,0.9642701997084019,0.9032569396824291,0.9317807258309339
biunet,25%,1, 20%~30%,66311.0,0.926967864048998,0.8149885892436938,0.947076132242706,0.9047388640663178,0.923563556863102,1.8235363439825606e-05,0.00012620125717418236,1.681222409168548e-05,3.294128476987004e-05,2.7335960473810404e-05,0.9780967434002686,0.8766763376250996,0.9642701997084019,0.9032569396824291,0.9317807258309339
biunet,25%,1, 30%~40%,52037.0,0.931174569094385,0.8125309862875061,0.9415094189965648,0.9263008275268475,0.9328743827574025,2.7292184699015026e-05,0.00015974370864747748,2.2100119251053658e-05,2.4573457528215997e-05,2.3390021047217962e-05,0.9780967434002686,0.8766763376250996,0.9642701997084019,0.9032569396824291,0.9317807258309339
