epoch,n_buckets,train_loss,train_acc,val_loss,val_acc,is_best
1,22,0.017627272727272728,0.9401,,,False
2,22,0.015718181818181815,0.9447090909090907,,,False
3,22,0.015072727272727278,0.9462545454545453,,,False
4,22,0.014881818181818184,0.9466863636363637,,,False
5,22,0.014740909090909093,0.9469954545454548,0.017222727272727275,0.9397863636363636,True
6,22,0.014686363636363638,0.9471454545454545,,,False
7,22,0.018554545454545452,0.9356681818181819,,,False
8,22,0.015077272727272729,0.9458590909090909,,,False
9,22,0.014963636363636363,0.9462954545454544,,,False
10,22,0.02861818181818182,0.9035499999999999,0.019881818181818185,0.9286636363636365,False
11,22,0.016263636363636366,0.9412500000000001,,,False
12,22,0.019572727272727273,0.9322545454545456,,,False
13,22,0.015759090909090914,0.94345,,,False
14,22,0.015340909090909089,0.9445636363636362,,,False
15,22,0.020268181818181817,0.9291772727272728,0.018945454545454547,0.932659090909091,False
16,22,0.015609090909090908,0.9441181818181819,,,False
17,22,0.015236363636363638,0.9450545454545455,,,False
18,22,0.02595909090909091,0.9124136363636364,,,False
19,22,0.016322727272727277,0.941490909090909,,,False
20,22,0.022295454545454545,0.9228772727272727,0.018413636363636365,0.9346636363636364,False
21,22,0.015540909090909084,0.9445318181818183,,,False
22,22,0.019549999999999998,0.9319636363636367,,,False
23,22,0.015427272727272727,0.9448227272727272,,,False
24,22,0.022477272727272728,0.9211863636363637,,,False
25,22,0.016154545454545453,0.9431999999999999,0.018449999999999998,0.9343181818181818,False
26,22,0.02059545454545455,0.9284454545454545,,,False
27,22,0.024454545454545455,0.9147590909090909,,,False
28,22,0.01808181818181818,0.935559090909091,,,False
29,22,0.03519090909090909,0.8805272727272727,,,False
30,22,0.018904545454545455,0.9340590909090907,0.021772727272727273,0.9252545454545452,False
31,22,0.017377272727272727,0.9387272727272727,,,False
32,22,0.03678636363636364,0.8841681818181819,,,False
33,22,0.017009090909090904,0.94005,,,False
34,22,0.022172727272727278,0.9230681818181822,,,False
35,22,0.01663181818181818,0.9416363636363637,0.019309090909090908,0.9321636363636365,False
36,22,0.016445454545454544,0.9421272727272725,,,False
37,22,0.019836363636363638,0.9317227272727272,,,False
38,22,0.01625909090909091,0.9430909090909091,,,False
39,22,0.021150000000000002,0.92755,,,False
40,22,0.015954545454545454,0.9438818181818178,0.018663636363636365,0.9338818181818183,False
41,22,0.015813636363636367,0.9442545454545456,,,False
42,22,0.04849999999999999,0.8143636363636364,,,False
43,22,0.02861818181818182,0.9002909090909091,,,False
44,22,0.024109090909090913,0.917968181818182,,,False
45,22,0.025504545454545457,0.9112863636363637,0.06142272727272729,0.7819181818181821,False
46,22,0.023749999999999997,0.9184090909090908,,,False
47,22,0.02,0.9300954545454545,,,False
48,22,0.056818181818181816,0.7958545454545455,,,False
49,22,0.03885,0.8475727272727273,,,False
50,22,0.034086363636363644,0.8711772727272726,0.040309090909090906,0.8503272727272727,False
51,22,0.03129545454545454,0.8857772727272728,,,False
52,11,0.048890909090909096,0.8164181818181817,,,False
