dataset,chr,MAF_bin,n_target,matched,absent_from_panel,allele_mismatch,pct_dropped,panel_markers
1KGP,13,1%~10%,225158,225158,0,0,0.0,2575087
1KGP,13,10%~20%,50371,50371,0,0,0.0,2575087
1KGP,13,20%~30%,32431,32431,0,0,0.0,2575087
1KGP,13,30%~40%,26226,26226,0,0,0.0,2575087
1KGP,13,40%~50%,23193,23193,0,0,0.0,2575087
1KGP,14,0.1%~0.5%,149550,149550,0,0,0.0,2383125
1KGP,14,0.5%~1%,98700,98700,0,0,0.0,2383125
1KGP,14,1%~10%,204130,204130,0,0,0.0,2383125
1KGP,14,10%~20%,42361,42361,0,0,0.0,2383125
1KGP,14,20%~30%,28942,28942,0,0,0.0,2383125
1KGP,14,30%~40%,21682,21682,0,0,0.0,2383125
1KGP,14,40%~50%,18911,18911,0,0,0.0,2383125
1KGP,15,0.1%~0.5%,133690,133690,0,0,0.0,2153932
1KGP,15,0.5%~1%,89779,89779,0,0,0.0,2153932
1KGP,15,1%~10%,180604,180604,0,0,0.0,2153932
1KGP,15,10%~20%,38234,38234,0,0,0.0,2153932
1KGP,15,20%~30%,23155,23155,0,0,0.0,2153932
1KGP,15,30%~40%,19593,19593,0,0,0.0,2153932
1KGP,15,40%~50%,17731,17731,0,0,0.0,2153932
1KGP,16,0.1%~0.5%,150178,150178,0,0,0.0,2410531
1KGP,16,0.5%~1%,97314,97314,0,0,0.0,2410531
1KGP,16,1%~10%,194246,194246,0,0,0.0,2410531
1KGP,16,10%~20%,41933,41933,0,0,0.0,2410531
1KGP,16,20%~30%,27142,27142,0,0,0.0,2410531
1KGP,16,30%~40%,20553,20553,0,0,0.0,2410531
1KGP,16,40%~50%,18562,18562,0,0,0.0,2410531
1KGP,17,0.1%~0.5%,127951,127951,0,0,0.0,2066684
1KGP,17,0.5%~1%,84968,84968,0,0,0.0,2066684
1KGP,17,1%~10%,170388,170388,0,0,0.0,2066684
1KGP,17,10%~20%,34315,34315,0,0,0.0,2066684
1KGP,17,20%~30%,22686,22686,0,0,0.0,2066684
1KGP,17,30%~40%,17684,17684,0,0,0.0,2066684
1KGP,17,40%~50%,16596,16596,0,0,0.0,2066684
1KGP,18,0.1%~0.5%,127610,127610,0,0,0.0,2047353
1KGP,18,0.5%~1%,84541,84541,0,0,0.0,2047353
1KGP,18,1%~10%,179428,179428,0,0,0.0,2047353
1KGP,18,10%~20%,39209,39209,0,0,0.0,2047353
1KGP,18,20%~30%,26296,26296,0,0,0.0,2047353
1KGP,18,30%~40%,19672,19672,0,0,0.0,2047353
1KGP,18,40%~50%,18295,18295,0,0,0.0,2047353
1KGP,19,0.1%~0.5%,101246,101246,0,0,0.0,1625698
1KGP,19,0.5%~1%,67987,67987,0,0,0.0,1625698
1KGP,19,1%~10%,142825,142825,0,0,0.0,1625698
1KGP,19,10%~20%,33968,33968,0,0,0.0,1625698
1KGP,19,20%~30%,21753,21753,0,0,0.0,1625698
1KGP,19,30%~40%,16381,16381,0,0,0.0,1625698
1KGP,19,40%~50%,14524,14524,0,0,0.0,1625698
1KGP,20,0.1%~0.5%,106863,106863,0,0,0.0,1706442
1KGP,20,0.5%~1%,70523,70523,0,0,0.0,1706442
1KGP,20,1%~10%,145565,145565,0,0,0.0,1706442
1KGP,20,10%~20%,30831,30831,0,0,0.0,1706442
1KGP,20,20%~30%,19564,19564,0,0,0.0,1706442
1KGP,20,30%~40%,15025,15025,0,0,0.0,1706442
1KGP,20,40%~50%,14034,14034,0,0,0.0,1706442
1KGP,21,0.1%~0.5%,63312,63312,0,0,0.0,976599
1KGP,21,0.5%~1%,41385,41385,0,0,0.0,976599
1KGP,21,1%~10%,86630,86630,0,0,0.0,976599
1KGP,21,10%~20%,19488,19488,0,0,0.0,976599
1KGP,21,20%~30%,12773,12773,0,0,0.0,976599
1KGP,21,30%~40%,10614,10614,0,0,0.0,976599
1KGP,21,40%~50%,9530,9530,0,0,0.0,976599
1KGP,22,0.1%~0.5%,62625,62625,0,0,0.0,993880
1KGP,22,0.5%~1%,41501,41501,0,0,0.0,993880
1KGP,22,1%~10%,90472,90472,0,0,0.0,993880
1KGP,22,10%~20%,17446,17446,0,0,0.0,993880
1KGP,22,20%~30%,11492,11492,0,0,0.0,993880
1KGP,22,30%~40%,9561,9561,0,0,0.0,993880
1KGP,22,40%~50%,8016,8016,0,0,0.0,993880
