Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_Precision,Overall_Recall,Overall_F1
SCDA,LOS,-1,0,0.25,0.5%~1%,20151,0.975038,0.327449333,0.568570667,0.796238667,0.65163,0.929565,0.65369,0.895476667,0.806555333,0.846895
SCDA,LOS,-1,0,0.25,1%~10%,54011,0.954244,0.600907667,0.836996667,0.796145333,0.815638667,0.929565,0.65369,0.895476667,0.806555333,0.846895
SCDA,LOS,-1,0,0.25,10%~20%,19838,0.890377333,0.646688,0.905661333,0.800797,0.845644333,0.929565,0.65369,0.895476667,0.806555333,0.846895
SCDA,LOS,-1,0,0.25,20%~30%,15717,0.850977667,0.607376333,0.899571333,0.806805667,0.842086667,0.929565,0.65369,0.895476667,0.806555333,0.846895
SCDA,LOS,-1,0,0.25,30%~40%,13401,0.827027667,0.565238333,0.882840333,0.811972,0.832003667,0.929565,0.65369,0.895476667,0.806555333,0.846895
SCDA,LOS,-1,0,0.25,40%~50%,12757,0.817668,0.540726,0.873122,0.814756333,0.825037,0.929565,0.65369,0.895476667,0.806555333,0.846895
BiUNet,LOS,128,16,0.05,0.1%~0.5%,52524,0.999959333,0.997012667,0.998302667,0.997185333,0.997743667,0.998739333,0.996162,0.997585,0.996720667,0.997152
BiUNet,LOS,128,16,0.05,0.5%~1%,20151,0.999797,0.994639,0.997799,0.993801667,0.995793,0.998739333,0.996162,0.997585,0.996720667,0.997152
BiUNet,LOS,128,16,0.05,1%~10%,54011,0.998348,0.990746333,0.996382333,0.990979667,0.993664667,0.998739333,0.996162,0.997585,0.996720667,0.997152
BiUNet,LOS,128,16,0.05,10%~20%,19838,0.997757,0.995308667,0.997116333,0.996593,0.996854333,0.998739333,0.996162,0.997585,0.996720667,0.997152
BiUNet,LOS,128,16,0.05,20%~30%,15717,0.997685,0.995690333,0.997484667,0.997458,0.997471,0.998739333,0.996162,0.997585,0.996720667,0.997152
BiUNet,LOS,128,16,0.05,30%~40%,13401,0.997659667,0.995441333,0.99763,0.997640333,0.997635,0.998739333,0.996162,0.997585,0.996720667,0.997152
BiUNet,LOS,128,16,0.05,40%~50%,12757,0.997664,0.995263667,0.997659333,0.997667333,0.997663333,0.998739333,0.996162,0.997585,0.996720667,0.997152
BiUNet,LOS,128,16,0.15,0.1%~0.5%,52524,0.999525667,0.967383333,0.996197667,0.958038667,0.976371667,0.995945333,0.987623667,0.992744,0.989231,0.990977333
BiUNet,LOS,128,16,0.15,0.5%~1%,20151,0.998201,0.953498,0.993646333,0.935359333,0.962678667,0.995945333,0.987623667,0.992744,0.989231,0.990977333
BiUNet,LOS,128,16,0.15,1%~10%,54011,0.995033333,0.972105667,0.989582667,0.972646,0.980949667,0.995945333,0.987623667,0.992744,0.989231,0.990977333
BiUNet,LOS,128,16,0.15,10%~20%,19838,0.993105333,0.985485333,0.99131,0.989519333,0.990410667,0.995945333,0.987623667,0.992744,0.989231,0.990977333
BiUNet,LOS,128,16,0.15,20%~30%,15717,0.992916333,0.986776,0.992376333,0.992213,0.992294,0.995945333,0.987623667,0.992744,0.989231,0.990977333
BiUNet,LOS,128,16,0.15,30%~40%,13401,0.992857333,0.986095667,0.992775667,0.992799667,0.992787,0.995945333,0.987623667,0.992744,0.989231,0.990977333
BiUNet,LOS,128,16,0.15,40%~50%,12757,0.992890333,0.985539,0.992879333,0.992901,0.992889667,0.995945333,0.987623667,0.992744,0.989231,0.990977333
BiUNet,LOS,128,16,0.25,0.1%~0.5%,52524,0.999098667,0.939227,0.993963,0.919311,0.953622,0.992958333,0.978561,0.987501667,0.981107333,0.984271333
BiUNet,LOS,128,16,0.25,0.5%~1%,20151,0.997161667,0.926655333,0.989701667,0.89786,0.939018667,0.992958333,0.978561,0.987501667,0.981107333,0.984271333
BiUNet,LOS,128,16,0.25,1%~10%,54011,0.991591333,0.952855333,0.982711,0.953072333,0.967371,0.992958333,0.978561,0.987501667,0.981107333,0.984271333
BiUNet,LOS,128,16,0.25,10%~20%,19838,0.987890333,0.974530333,0.985022667,0.981316333,0.983153333,0.992958333,0.978561,0.987501667,0.981107333,0.984271333
BiUNet,LOS,128,16,0.25,20%~30%,15717,0.987401667,0.976587333,0.986545667,0.986032333,0.986286667,0.992958333,0.978561,0.987501667,0.981107333,0.984271333
BiUNet,LOS,128,16,0.25,30%~40%,13401,0.987320333,0.975405333,0.987197333,0.987195,0.987194667,0.992958333,0.978561,0.987501667,0.981107333,0.984271333
BiUNet,LOS,128,16,0.25,40%~50%,12757,0.987473,0.974640667,0.987457,0.987488,0.987470667,0.992958333,0.978561,0.987501667,0.981107333,0.984271333
