dataset,chr,MAF_bin,n_target,matched,absent_from_panel,allele_mismatch,pct_dropped,panel_markers
SGDP,18,1%~10%,92622,90120,2500,2,2.7,2047353
SGDP,18,10%~20%,48327,47158,1167,2,2.42,2047353
SGDP,18,20%~30%,35062,34083,978,1,2.79,2047353
SGDP,18,30%~40%,30181,29152,1029,0,3.41,2047353
SGDP,18,40%~50%,28209,27219,990,0,3.51,2047353
SGDP,19,0.1%~0.5%,7284,6837,447,0,6.14,1625698
SGDP,19,0.5%~1%,7985,7548,437,0,5.47,1625698
SGDP,19,1%~10%,72092,68923,3160,9,4.4,1625698
SGDP,19,10%~20%,42001,40538,1462,1,3.48,1625698
SGDP,19,20%~30%,28117,26936,1181,0,4.2,1625698
SGDP,19,30%~40%,24765,23633,1131,1,4.57,1625698
SGDP,19,40%~50%,23241,22028,1212,1,5.22,1625698
SGDP,20,0.1%~0.5%,7661,7397,262,2,3.45,1706442
SGDP,20,0.5%~1%,8294,8029,265,0,3.2,1706442
SGDP,20,1%~10%,69691,68182,1504,5,2.17,1706442
SGDP,20,10%~20%,36485,35762,721,2,1.98,1706442
SGDP,20,20%~30%,26862,26302,559,1,2.08,1706442
SGDP,20,30%~40%,22308,21761,546,1,2.45,1706442
SGDP,20,40%~50%,23126,22467,659,0,2.85,1706442
SGDP,21,0.1%~0.5%,4912,4535,377,0,7.68,976599
SGDP,21,0.5%~1%,4865,4593,272,0,5.59,976599
SGDP,21,1%~10%,44025,41652,2369,4,5.39,976599
SGDP,21,10%~20%,24696,23496,1198,2,4.86,976599
SGDP,21,20%~30%,17578,16815,763,0,4.34,976599
SGDP,21,30%~40%,15286,14563,723,0,4.73,976599
SGDP,21,40%~50%,14417,13669,747,1,5.19,976599
SGDP,22,0.1%~0.5%,2631,2442,189,0,7.18,993880
SGDP,22,0.5%~1%,3398,3189,209,0,6.15,993880
SGDP,22,1%~10%,43281,40932,2348,1,5.43,993880
SGDP,22,10%~20%,23204,21998,1206,0,5.2,993880
SGDP,22,20%~30%,15873,15129,742,2,4.69,993880
SGDP,22,30%~40%,15835,14964,871,0,5.5,993880
SGDP,22,40%~50%,13096,12201,895,0,6.83,993880
