Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_Precision,Overall_Recall,Overall_F1,MAF_bin
Beagle,LOS,-1,0,0.05,,17259,0.8805501546650093,0.8170654670155965,0.7513548793218126,0.7513319385641679,0.7513433827743253,0.9565618173434678,0.8301553114993384,0.7514160206904754,0.7513711351169614,0.7513934758648007, 10%~20%
Beagle,LOS,-1,0,0.05,,11414,0.8199099574769502,0.8168760988026751,0.751194775179482,0.7512307974566288,0.7512124683780457,0.9565618173434678,0.8301553114993384,0.7514160206904754,0.7513711351169614,0.7513934758648007, 20%~30%
Beagle,LOS,-1,0,0.05,,9073,0.7796943798912505,0.8166275828336923,0.7509293864236639,0.7509932199339786,0.7509612782750015,0.9565618173434678,0.8301553114993384,0.7514160206904754,0.7513711351169614,0.7513934758648007, 30%~40%
Beagle,LOS,-1,0,0.05,,8187,0.7617570911249283,0.8178294580947042,0.7521434705863187,0.7522264017283983,0.752184712062726,0.9565618173434678,0.8301553114993384,0.7514160206904754,0.7513711351169614,0.7513934758648007, 40%~50%
BiUNet,LOS,128,16,0.15,,80535,0.9992551799232552,0.8986903556450897,0.9944071013498388,0.943667150415516,0.9676927799959358,0.9974149907736108,0.9283183028314412,0.9919403721609454,0.98993890956682,0.990937397421872, 0.1%~0.5%
BiUNet,LOS,128,16,0.15,,43321,0.9985979992550827,0.9012909621929506,0.9905211937462182,0.9569654072074936,0.9731596331805548,0.9974149907736108,0.9283183028314412,0.9919403721609454,0.98993890956682,0.990937397421872, 0.5%~1%
BiUNet,LOS,128,16,0.15,,87563,0.9970538226497384,0.9410981915338962,0.9894061634361978,0.98200916931737,0.98568040278225,0.9974149907736108,0.9283183028314412,0.9919403721609454,0.98993890956682,0.990937397421872, 1%~10%
BiUNet,LOS,128,16,0.15,,17259,0.994323032629883,0.976316606997356,0.991218891088669,0.9928747477300846,0.9920439250384576,0.9974149907736108,0.9283183028314412,0.9919403721609454,0.98993890956682,0.990937397421872, 10%~20%
BiUNet,LOS,128,16,0.15,,11414,0.9935773880928954,0.9825340957403876,0.9922451751501528,0.9937342920736716,0.9929852205773548,0.9974149907736108,0.9283183028314412,0.9919403721609454,0.98993890956682,0.990937397421872, 20%~30%
BiUNet,LOS,128,16,0.15,,9073,0.9932790940327512,0.9849981786368543,0.9928361732419778,0.9935636696134515,0.9931944498196538,0.9974149907736108,0.9283183028314412,0.9919403721609454,0.98993890956682,0.990937397421872, 30%~40%
BiUNet,LOS,128,16,0.15,,8187,0.9933680522818896,0.9865062621581618,0.9932703390330798,0.9934535898123106,0.9933551129135572,0.9974149907736108,0.9283183028314412,0.9919403721609454,0.98993890956682,0.990937397421872, 40%~50%
Beagle,LOS,-1,0,0.15,,80535,0.9967627960164938,0.8320129311596524,0.7464615744759272,0.7437160333198711,0.7450652013686184,0.9558785166255171,0.8165119549920772,0.7487385746427756,0.7484312429143183,0.7485841549517418, 0.1%~0.5%
