Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_IQS,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_IQS,Overall_Precision,Overall_Recall,Overall_F1
2,1KG,256,4,0.05,30%~40%,9348,0.975887,0.928685,0.95905,0.978945,0.969119,0.971674,0.988456,0.943442,0.966882,0.982281,0.966046,0.973991
2,1KG,256,4,0.05,40%~50%,6780,0.973694,0.923203,0.957375,0.975544,0.97211,0.971966,0.988456,0.943442,0.966882,0.982281,0.966046,0.973991
2,1KG,256,4,0.05,>=50%,1260,0.969406,0.90517,0.950708,0.96586,0.971395,0.966076,0.988456,0.943442,0.966882,0.982281,0.966046,0.973991
2,1KG,256,4,0.15,0.5%~1%,25079,0.993036,0.898874,0.778552,0.873303,0.900022,0.881599,0.970071,0.845063,0.911841,0.967911,0.914895,0.939738
2,1KG,256,4,0.15,1%~10%,44351,0.982984,0.812824,0.870342,0.951246,0.902377,0.918027,0.970071,0.845063,0.911841,0.967911,0.914895,0.939738
2,1KG,256,4,0.15,10%~20%,17825,0.96187,0.829395,0.899542,0.94555,0.909273,0.92094,0.970071,0.845063,0.911841,0.967911,0.914895,0.939738
2,1KG,256,4,0.15,20%~30%,11696,0.944623,0.814925,0.892917,0.952316,0.913257,0.924309,0.970071,0.845063,0.911841,0.967911,0.914895,0.939738
2,1KG,256,4,0.15,30%~40%,9348,0.93343,0.800074,0.88656,0.95056,0.919047,0.927374,0.970071,0.845063,0.911841,0.967911,0.914895,0.939738
2,1KG,256,4,0.15,40%~50%,6780,0.926595,0.786816,0.882184,0.938373,0.925338,0.924298,0.970071,0.845063,0.911841,0.967911,0.914895,0.939738
2,1KG,256,4,0.15,>=50%,1260,0.916464,0.753106,0.868357,0.916345,0.925689,0.910078,0.970071,0.845063,0.911841,0.967911,0.914895,0.939738
2,1KG,256,4,0.25,0.5%~1%,25079,0.988508,0.810294,0.666676,0.811197,0.851193,0.823039,0.949393,0.73685,0.846316,0.950458,0.857603,0.898744
2,1KG,256,4,0.25,1%~10%,44351,0.972579,0.707399,0.791458,0.920555,0.852055,0.872529,0.949393,0.73685,0.846316,0.950458,0.857603,0.898744
2,1KG,256,4,0.25,10%~20%,17825,0.936202,0.718129,0.827697,0.915874,0.852992,0.872585,0.949393,0.73685,0.846316,0.950458,0.857603,0.898744
2,1KG,256,4,0.25,20%~30%,11696,0.90577,0.694583,0.815057,0.925174,0.855144,0.874143,0.949393,0.73685,0.846316,0.950458,0.857603,0.898744
2,1KG,256,4,0.25,30%~40%,9348,0.88414,0.67073,0.80216,0.921392,0.86142,0.874911,0.949393,0.73685,0.846316,0.950458,0.857603,0.898744
2,1KG,256,4,0.25,40%~50%,6780,0.870019,0.649842,0.793504,0.90225,0.870519,0.868257,0.949393,0.73685,0.846316,0.950458,0.857603,0.898744
2,1KG,256,4,0.25,>=50%,1260,0.85747,0.610756,0.779792,0.87592,0.873589,0.850818,0.949393,0.73685,0.846316,0.950458,0.857603,0.898744
2,1KG,256,4,0.5,0.5%~1%,25079,0.977472,0.583631,0.417789,0.678401,0.724251,0.690809,0.892031,0.453517,0.638804,0.896364,0.693245,0.764926
2,1KG,256,4,0.5,1%~10%,44351,0.945738,0.464615,0.567695,0.830672,0.720092,0.747624,0.892031,0.453517,0.638804,0.896364,0.693245,0.764926
2,1KG,256,4,0.5,10%~20%,17825,0.867416,0.448071,0.613057,0.830272,0.699814,0.729341,0.892031,0.453517,0.638804,0.896364,0.693245,0.764926
2,1KG,256,4,0.5,20%~30%,11696,0.797987,0.414248,0.586007,0.843231,0.693481,0.720103,0.892031,0.453517,0.638804,0.896364,0.693245,0.764926
2,1KG,256,4,0.5,30%~40%,9348,0.742403,0.378508,0.557351,0.851752,0.69758,0.713141,0.892031,0.453517,0.638804,0.896364,0.693245,0.764926
2,1KG,256,4,0.5,40%~50%,6780,0.700379,0.344278,0.536656,0.828206,0.704937,0.694807,0.892031,0.453517,0.638804,0.896364,0.693245,0.764926
2,1KG,256,4,0.5,>=50%,1260,0.66357,0.303911,0.510172,0.795618,0.706046,0.665149,0.892031,0.453517,0.638804,0.896364,0.693245,0.764926
3,1KG,128,4,0.05,0.5%~1%,25079,0.997607,0.993693,0.885146,0.940581,0.943791,0.941808,0.996276,0.984058,0.989424,0.995075,0.990766,0.992908
3,1KG,128,4,0.05,1%~10%,44351,0.996562,0.953601,0.967123,0.992237,0.975716,0.981459,0.996276,0.984058,0.989424,0.995075,0.990766,0.992908
3,1KG,128,4,0.05,10%~20%,17825,0.996164,0.982936,0.99015,0.992442,0.989875,0.990565,0.996276,0.984058,0.989424,0.995075,0.990766,0.992908
3,1KG,128,4,0.05,20%~30%,11696,0.995475,0.986202,0.991429,0.994276,0.992238,0.992577,0.996276,0.984058,0.989424,0.995075,0.990766,0.992908
3,1KG,128,4,0.05,30%~40%,9348,0.994695,0.986675,0.990996,0.994677,0.993478,0.993704,0.996276,0.984058,0.989424,0.995075,0.990766,0.992908
3,1KG,128,4,0.05,40%~50%,6780,0.994016,0.985823,0.990267,0.994143,0.993706,0.993662,0.996276,0.984058,0.989424,0.995075,0.990766,0.992908
