Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_Precision,Overall_Recall,Overall_F1,MAF_bin
Beagle,HLA,-1,0,0.05,,385,0.9854781582054308,0.9779255747225774,0.742487905479637,0.7431162683904696,0.7368392664509169,0.8926519407558733,0.8693037131616974,0.7674974761556255,0.76747331394964,0.7674830597813471, 0.1%~0.5%
Beagle,HLA,-1,0,0.05,,608,0.9804126794258372,0.9510531457368676,0.7264817728822449,0.7264653136208556,0.7262203218085571,0.8926519407558733,0.8693037131616974,0.7674974761556255,0.76747331394964,0.7674830597813471, 0.5%~1%
Beagle,HLA,-1,0,0.05,,15186,0.955530213234678,0.8850519617327629,0.7571392679243638,0.7572705848088197,0.7570067517051959,0.8926519407558733,0.8693037131616974,0.7674974761556255,0.76747331394964,0.7674830597813471, 1%~10%
Beagle,HLA,-1,0,0.05,,8291,0.8966540937051128,0.8514598777354861,0.766038605989945,0.7660056447693874,0.7660117335542709,0.8926519407558733,0.8693037131616974,0.7674974761556255,0.76747331394964,0.7674830597813471, 10%~20%
Beagle,HLA,-1,0,0.05,,6297,0.8532526311230456,0.8588943959247917,0.7684486569575163,0.7683995990263626,0.7684190750086848,0.8926519407558733,0.8693037131616974,0.7674974761556255,0.76747331394964,0.7674830597813471, 20%~30%
Beagle,HLA,-1,0,0.05,,5390,0.8277407657277787,0.862984741684523,0.7740832300559671,0.7740735324546646,0.7740658520066924,0.8926519407558733,0.8693037131616974,0.7674974761556255,0.76747331394964,0.7674830597813471, 30%~40%
Beagle,HLA,-1,0,0.05,,5139,0.7994082683224539,0.8531281910590788,0.7683525253676922,0.7683718487710428,0.7683580937909323,0.8926519407558733,0.8693037131616974,0.7674974761556255,0.76747331394964,0.7674830597813471, 40%~50%
BiUNet,HLA,128,64,0.15,,385,1.0,1.0,1.0,1.0,1.0,0.9963594316860978,0.9819221754078128,0.994641670172984,0.9945880985993456,0.9946144585868256, 0.1%~0.5%
BiUNet,HLA,128,64,0.15,,608,0.9988785885167464,0.9851723955783372,0.9845726233502357,0.9452546983308188,0.9637587439843128,0.9963594316860978,0.9819221754078128,0.994641670172984,0.9945880985993456,0.9946144585868256, 0.5%~1%
BiUNet,HLA,128,64,0.15,,15186,0.9966431402128756,0.9702673781832912,0.9910925814320743,0.9875429137547508,0.98930829076399,0.9963594316860978,0.9819221754078128,0.994641670172984,0.9945880985993456,0.9946144585868256, 1%~10%
