Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_Precision,Overall_Recall,Overall_F1,MAF_bin
Beagle,SGDP,-1,0,0.05,,2442,0.9862258953168044,0.9784654407044596,0.7520297504033802,0.7528014030518674,0.7523122651875784,0.8921376143027022,0.8714946091945398,0.751825793020515,0.7518224981650586,0.7518234754261236, 0.1%~0.5%
Beagle,SGDP,-1,0,0.05,,3189,0.9855682887197468,0.9664074347051318,0.767609066882504,0.7683734667529043,0.7676955309349454,0.8921376143027022,0.8714946091945398,0.751825793020515,0.7518224981650586,0.7518234754261236, 0.5%~1%
Beagle,SGDP,-1,0,0.05,,40929,0.9606252734780184,0.8966680321009598,0.7534772975279078,0.7537186243590881,0.7535638483855596,0.8921376143027022,0.8714946091945398,0.751825793020515,0.7518224981650586,0.7518234754261236, 1%~10%
Beagle,SGDP,-1,0,0.05,,21997,0.8918891832357305,0.8441229704314634,0.7505616710083755,0.7505286234952109,0.7505286988798163,0.8921376143027022,0.8714946091945398,0.751825793020515,0.7518224981650586,0.7518234754261236, 10%~20%
Beagle,SGDP,-1,0,0.05,,15128,0.8385774722369117,0.8451941094890194,0.7521407901432365,0.7521312060699977,0.7521256685183724,0.8921376143027022,0.8714946091945398,0.751825793020515,0.7518224981650586,0.7518234754261236, 20%~30%
Beagle,SGDP,-1,0,0.05,,14964,0.8071659862457777,0.8500020847496116,0.7516101327356917,0.7516441906466094,0.7516260615031849,0.8921376143027022,0.8714946091945398,0.751825793020515,0.7518224981650586,0.7518234754261236, 30%~40%
Beagle,SGDP,-1,0,0.05,,12201,0.7902109365104202,0.8491576045887341,0.7512238425689644,0.7512819553517528,0.7512478795447577,0.8921376143027022,0.8714946091945398,0.751825793020515,0.7518224981650586,0.7518234754261236, 40%~50%
BiUNet,SGDP,128,16,0.15,,2442,0.9995718859355224,0.9929231292753958,0.9937116838280722,0.996066655926422,0.9948861180757794,0.9944324845204412,0.9737573127883642,0.990623248864292,0.9919349786809764,0.991276921366716, 0.1%~0.5%
BiUNet,SGDP,128,16,0.15,,3189,0.9991091536246758,0.9859115280072588,0.9891682597799591,0.9939777305123194,0.991560079940082,0.9944324845204412,0.9737573127883642,0.990623248864292,0.9919349786809764,0.991276921366716, 0.5%~1%
BiUNet,SGDP,128,16,0.15,,40929,0.9958892228004592,0.9614585177166614,0.984510727318751,0.9855310785159014,0.9850160677603048,0.9944324845204412,0.9737573127883642,0.990623248864292,0.9919349786809764,0.991276921366716, 1%~10%
BiUNet,SGDP,128,16,0.15,,21997,0.993741915219844,0.9741691369130344,0.9897201444652468,0.9909956475692808,0.9903551116267284,0.9944324845204412,0.9737573127883642,0.990623248864292,0.9919349786809764,0.991276921366716, 10%~20%
BiUNet,SGDP,128,16,0.15,,15128,0.992548435171386,0.980407042640432,0.9907650584307583,0.9917906830877096,0.9912755387166904,0.9944324845204412,0.9737573127883642,0.990623248864292,0.9919349786809764,0.991276921366716, 20%~30%
BiUNet,SGDP,128,16,0.15,,14964,0.9930712497873684,0.9850335220163512,0.9923603666838764,0.9929785914621394,0.992666835872631,0.9944324845204412,0.9737573127883642,0.990623248864292,0.9919349786809764,0.991276921366716, 30%~40%
BiUNet,SGDP,128,16,0.15,,12201,0.9925453204282808,0.9851804268645104,0.9921618155505748,0.9925085323542008,0.9923312770423958,0.9944324845204412,0.9737573127883642,0.990623248864292,0.9919349786809764,0.991276921366716, 40%~50%
Beagle,SGDP,-1,0,0.15,,2442,0.9847740302285756,0.9747260911967088,0.7279949647365721,0.7296158228584885,0.7282788760373036,0.8906646984048878,0.8666147222956616,0.7491851691915056,0.7490399596878046,0.7491073557683529, 0.1%~0.5%
Beagle,SGDP,-1,0,0.15,,3189,0.9827888480287352,0.95911938423539,0.7251408388034613,0.7278789267185,0.7256577465067547,0.8906646984048878,0.8666147222956616,0.7491851691915056,0.7490399596878046,0.7491073557683529, 0.5%~1%
Beagle,SGDP,-1,0,0.15,,40929,0.9601710500889568,0.8918946399680563,0.7523492503741567,0.7520041071848705,0.7521726899984243,0.8906646984048878,0.8666147222956616,0.7491851691915056,0.7490399596878046,0.7491073557683529, 1%~10%
Beagle,SGDP,-1,0,0.15,,21997,0.8888949732814805,0.8378515732887991,0.7445197027766797,0.744234018678872,0.7443645506424601,0.8906646984048878,0.8666147222956616,0.7491851691915056,0.7490399596878046,0.7491073557683529, 10%~20%
Beagle,SGDP,-1,0,0.15,,15128,0.8359228522667179,0.8390654761684364,0.7485286448598667,0.7485563065945855,0.748512088411856,0.8906646984048878,0.8666147222956616,0.7491851691915056,0.7490399596878046,0.7491073557683529, 20%~30%
Beagle,SGDP,-1,0,0.15,,14964,0.8041162426186484,0.8457291186130828,0.7478357228553774,0.7479859807310714,0.7479032286672445,0.8906646984048878,0.8666147222956616,0.7491851691915056,0.7490399596878046,0.7491073557683529, 30%~40%
Beagle,SGDP,-1,0,0.15,,12201,0.791799852471109,0.8476344082882873,0.7531773030171994,0.7534271628943258,0.7532724634309594,0.8906646984048878,0.8666147222956616,0.7491851691915056,0.7490399596878046,0.7491073557683529, 40%~50%
BiUNet,SGDP,128,16,0.25,,2442,0.9982875437420892,0.970243493206612,0.98972774570157,0.9739770796799044,0.9817450731133296,0.9902398819042932,0.9525661112511322,0.98393692962679,0.9854966983107328,0.9847114834450112, 0.1%~0.5%
