missing,0.1%~0.5%,0.5%~1%,1%~10%,10%~20%,20%~30%,30%~40%,40%~50%,Overall,markers
5%,0.9225561100825027,0.9453895314959402,0.9820187057167586,0.9807988560360468,0.9807397006842815,0.9837243844059562,0.9829673966574047,0.9851521723743686,317806
15%,0.7779243861819821,0.8226826934572063,0.9134376699614505,0.9278218672187838,0.9337683737527683,0.9390513834791696,0.9386396809175854,0.9422293255575224,317806
25%,0.6788378976368995,0.733273958104907,0.8578091650038463,0.8853047593638659,0.8933980537644342,0.9019557845061792,0.9008964625999889,0.9063516350529793,317806
