arm,reference_handling,missing,MAF_bin,R2,Num_SNPs
aligned reference,1KGP samples projected onto the SGDP variant axis,15%,30%~40%,0.8593233481536006,3043683.0
aligned reference,1KGP samples projected onto the SGDP variant axis,15%,40%~50%,0.8466199699539573,2803050.0
aligned reference,1KGP samples projected onto the SGDP variant axis,15%,Overall,0.8812348034898138,51013650.0
aligned reference,1KGP samples projected onto the SGDP variant axis,25%,0.1%~0.5%,0.4788188306084612,942684.0
aligned reference,1KGP samples projected onto the SGDP variant axis,25%,0.5%~1%,0.577901642375219,1024923.0
aligned reference,1KGP samples projected onto the SGDP variant axis,25%,1%~10%,0.7621773308797989,9303015.0
aligned reference,1KGP samples projected onto the SGDP variant axis,25%,10%~20%,0.8246305893056276,4894806.0
aligned reference,1KGP samples projected onto the SGDP variant axis,25%,20%~30%,0.8094646253013834,3494664.0
aligned reference,1KGP samples projected onto the SGDP variant axis,25%,30%~40%,0.7839676967357276,3043683.0
aligned reference,1KGP samples projected onto the SGDP variant axis,25%,40%~50%,0.7651046386516615,2803050.0
aligned reference,1KGP samples projected onto the SGDP variant axis,25%,Overall,0.814720119169909,51013650.0
