config,model,segLen,overlap,stride,depth,nchannels,kernelSize,bioAware,input_channels,params_total,params_trainable,param_memory_mb,macs,flops,gmacs,gflops,forward_ms_mean,forward_ms_sd,peak_memory_mb,train_segments_per_epoch,forward_gflops_per_epoch,train_gflops_per_epoch_approx_3x,planned_train_gflops_approx_3x
complexity_reference.yaml,unet,128,16,112,6,32,7,True,7,9783078,9783078,37.319480895996094,85700608,171401216,0.085700608,0.171401216,1.751990895718336,0.006363262492025242,96.197265625,1377920,236177.16355072,708531.49065216,708531.49065216
complexity_reference.yaml,scda,128,16,112,6,32,7,True,6,17110886,17110886,65.2728500366211,113369088,226738176,0.113369088,0.226738176,1.8716865219175816,0.006340017967953566,134.0263671875,1377920,312427.06747392,937281.20242176,937281.20242176
